First Name,Last Name,Salary,Position,Team,Opponent,Projection
Stanley Umude,1,4.7,SG,DET,IND,26.45
Gradey Dick,1,5.3,SG,TOR,SAC,26.1
Thomas Bryant,1,4.7,C,MIA,CLE,22.93
Dalano Banton,1,5.3,PG,POR,LAC,25.25
Bruce Brown,1,7,SG,TOR,SAC,32.81
Jontay Porter,1,5.7,C,TOR,SAC,25.79
Brice Sensabaugh,1,5.1,SF,UTA,OKC,23.02
Payton Pritchard,1,5.6,PG,BOS,MIL,24.63
Trayce Jackson-Davis,1,5.8,C,GSW,MEM,24.06
Orlando Robinson,1,4.4,C,MIA,CLE,18.01
Bobby Portis,1,7.7,PF,MIL,BOS,31.18
Jordan Nwora,1,6.3,PF,TOR,SAC,25.14
Andrew Nembhard,1,5.3,PG,IND,DET,20.82
Ochai Agbaji,1,4.8,SG,TOR,SAC,18.72
Shai Gilgeous-Alexander,1,14.5,PG,OKC,UTA,56.41
Keon Ellis,1,5.7,SG,SAC,TOR,22.05
Evan Fournier,1,4.9,SG,DET,IND,18.86
Kris Dunn,1,5,PG,UTA,OKC,19.17
Taylor Hendricks,1,6.6,PF,UTA,OKC,25.07
Scoot Henderson,1,7,PG,POR,LAC,26.54
Jae Crowder,1,4.8,PF,MIL,BOS,18.11
De'Aaron Fox,1,13.2,PG,SAC,TOR,49.67
Tosan Evbuomwan,1,4.5,SF,DET,IND,16.9
Keegan Murray,1,8,PF,SAC,TOR,29.98
Myles Turner,1,9.5,C,IND,DET,35.57
Damian Lillard,1,13.1,PG,MIL,BOS,48.66
Tyrese Haliburton,1,12.7,PG,IND,DET,46.97
Kyle Lowry,1,6.4,PG,PHI,PHX,23.55
Collin Sexton,1,10.1,PG,UTA,OKC,36.92
Jaden Ivey,1,8.2,SG,DET,IND,29.94
James Harden,1,11.2,PG,LAC,POR,40.87
Jusuf Nurkic,1,9.8,C,PHX,PHI,35.65
Royce O'Neale,1,5.1,SF,PHX,PHI,18.55
Tobias Harris,1,8.6,SF,PHI,PHX,31.26
Jimmy Butler,1,11.3,SF,MIA,CLE,40.61
Chet Holmgren,1,11,PF,OKC,UTA,39.19
Isaac Okoro,1,6.5,SF,CLE,MIA,23.14
Domantas Sabonis,1,16.5,C,SAC,TOR,58.67
Terry Rozier,1,9.7,PG,MIA,CLE,34.48
Patrick Beverley,1,4.8,PG,MIL,BOS,17.06
Keyonte George,1,9.3,SG,UTA,OKC,33
Tyrese Maxey,1,12.4,PG,PHI,PHX,43.89
Malik Monk,1,9.9,SG,SAC,TOR,34.91
Brandin Podziemski,1,7.3,SG,GSW,MEM,25.69
Jonathan Kuminga,1,9,PF,GSW,MEM,31.59
GG Jackson II,1,9,PF,MEM,GSW,31.56
Kelly Olynyk,1,9.7,PF,TOR,SAC,33.95
Aaron Nesmith,1,7.7,SF,IND,DET,26.87
Georges Niang,1,6.6,SF,CLE,MIA,22.99
Desmond Bane,1,11.5,SG,MEM,GSW,39.88
Harrison Barnes,1,6.8,SF,SAC,TOR,23.57
Cade Cunningham,1,12.1,PG,DET,IND,41.94
John Collins,1,9,PF,UTA,OKC,31
Jalen Duren,1,10.9,C,DET,IND,37.52
Ivica Zubac,1,7.5,C,LAC,POR,25.73
Kris Murray,1,5,PF,POR,LAC,17.06
Sam Merrill,1,5.9,SG,CLE,MIA,20.13
Marcus Sasser,1,5.3,PG,DET,IND,18
Malik Beasley,1,6.5,SG,MIL,BOS,22.07
Paul Reed,1,7.2,PF,PHI,PHX,24.4
