TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
ATL,C,25.4,10.7,6.5,2.1,0.7,1.0,1.2,0.6,56.6,74.0
WAS,C,24.6,10.7,6.6,1.9,0.5,0.9,1.3,0.5,58.9,73.6
CHI,C,24.5,10.5,6.4,1.9,0.6,0.9,1.1,0.7,53.7,71.1
CHA,C,24.2,11.0,6.5,1.7,0.5,0.8,1.3,0.7,57.9,74.1
TOR,C,23.9,10.0,6.4,1.9,0.5,0.9,1.2,0.6,54.6,77.3
CLE,C,23.8,9.8,6.4,1.9,0.6,1.0,1.1,0.7,51.2,73.0
MIL,C,23.5,10.2,6.1,2.1,0.5,0.7,1.1,0.7,51.4,74.5
DAL,C,23.5,10.5,6.1,1.9,0.7,0.6,1.3,0.6,55.7,69.5
OKC,C,23.5,9.8,6.5,2.0,0.5,0.8,1.5,0.5,51.0,75.8
DET,C,23.4,9.9,5.7,1.9,0.6,1.1,1.1,0.6,55.0,78.0
SAS,C,23.4,10.4,6.2,1.6,0.6,0.8,1.0,0.5,55.3,75.3
GSW,C,23.3,10.2,6.0,2.0,0.6,0.8,1.2,0.6,51.8,76.2
ORL,C,23.2,9.9,6.0,1.8,0.6,0.9,1.5,0.5,53.6,71.9
DEN,C,23.1,9.9,6.1,1.9,0.6,0.7,1.0,0.6,50.9,71.2
POR,C,22.9,9.8,5.7,1.8,0.7,1.0,1.2,0.6,57.3,73.4
PHI,C,22.8,9.8,5.9,1.8,0.5,1.1,1.2,0.5,55.1,71.1
MEM,C,22.8,9.3,6.2,1.6,0.6,1.1,1.3,0.5,53.3,75.4
HOU,C,22.5,9.8,5.9,1.5,0.5,1.1,1.3,0.5,52.1,67.6
LAC,C,22.3,9.3,5.9,2.0,0.7,0.7,1.2,0.6,49.2,73.0
UTA,C,22.2,9.8,5.2,1.9,0.6,0.9,1.0,0.6,53.6,71.7
IND,C,22.2,9.8,5.5,1.8,0.5,0.9,1.2,0.4,55.2,75.2
SAC,C,21.9,9.2,5.6,2.0,0.6,0.7,1.0,0.6,52.7,76.2
NOP,C,21.8,9.0,5.9,1.8,0.4,1.0,1.2,0.5,53.0,75.2
BKN,C,21.7,8.9,5.9,1.7,0.6,0.8,1.0,0.5,54.3,76.4
MIA,C,21.6,9.3,6.0,1.6,0.5,0.7,1.0,0.6,54.6,72.8
MIN,C,21.4,9.2,5.5,1.8,0.6,0.7,1.1,0.6,49.5,70.8
BOS,C,21.4,9.6,5.4,1.8,0.5,0.6,1.0,0.6,52.2,72.1
LAL,C,21.1,8.8,5.6,1.8,0.6,0.7,1.1,0.6,51.9,67.1
PHX,C,21.0,9.3,5.4,1.8,0.5,0.6,1.2,0.5,52.5,74.7
NYK,C,20.5,8.7,5.3,1.6,0.5,0.9,1.2,0.5,52.2,70.2
