TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
CHI,PF,25.3,12.5,5.2,2.3,0.7,0.6,1.2,1.5,49.3,76.7
PHI,PF,24.6,11.9,5.4,2.2,0.6,0.7,1.3,1.1,49.3,80.9
ATL,PF,24.5,12.4,4.8,2.2,0.7,0.6,1.2,1.3,49.8,79.1
CHA,PF,24.1,11.9,4.7,2.4,0.8,0.5,1.2,1.3,50.8,79.7
TOR,PF,23.9,11.6,5.0,2.3,0.7,0.6,1.3,1.1,48.4,80.9
DAL,PF,23.8,12.1,4.9,2.2,0.6,0.4,1.1,1.3,49.2,75.1
OKC,PF,23.7,11.8,5.0,2.1,0.6,0.6,1.5,1.3,45.8,80.0
WAS,PF,23.4,11.8,4.7,2.1,0.7,0.5,1.2,1.1,51.9,78.3
CLE,PF,23.4,11.2,5.0,2.1,0.7,0.6,1.3,1.2,44.9,76.9
DET,PF,23.1,11.7,4.3,2.1,0.8,0.5,0.9,1.2,50.7,80.9
HOU,PF,23.1,11.3,4.9,2.0,0.7,0.7,1.2,1.1,46.4,73.2
IND,PF,23.0,11.8,4.6,1.9,0.6,0.6,1.1,0.9,51.8,80.5
UTA,PF,22.9,11.7,3.9,2.2,0.7,0.6,1.0,1.4,50.4,75.6
MIA,PF,22.6,11.3,4.5,2.1,0.7,0.5,1.2,1.2,49.6,80.7
MEM,PF,22.5,10.8,4.7,1.9,0.8,0.6,1.3,1.4,47.4,79.0
GSW,PF,22.5,11.1,4.8,1.9,0.7,0.5,1.2,1.2,48.2,78.5
SAC,PF,22.2,11.5,4.2,2.1,0.6,0.5,1.3,1.2,51.0,80.1
LAL,PF,22.0,10.7,4.2,2.2,0.7,0.6,1.0,1.2,48.3,80.2
MIL,PF,21.6,10.5,4.5,2.0,0.6,0.5,1.0,1.2,44.7,80.1
DEN,PF,21.4,10.3,4.5,2.1,0.7,0.4,1.0,0.9,46.0,75.4
PHX,PF,21.4,10.9,4.2,1.7,0.8,0.5,1.1,1.1,47.3,73.4
BKN,PF,21.4,10.6,4.6,1.9,0.5,0.5,1.1,1.1,48.0,82.6
NYK,PF,21.2,10.6,4.2,1.9,0.6,0.5,1.1,1.2,49.1,73.8
LAC,PF,21.1,10.5,4.3,2.0,0.7,0.5,1.1,1.1,48.6,76.4
ORL,PF,20.9,10.7,4.3,1.7,0.7,0.4,1.4,1.1,47.1,76.1
SAS,PF,20.7,10.2,4.4,1.8,0.7,0.4,1.1,1.0,48.0,74.7
POR,PF,20.6,10.1,4.2,1.8,0.7,0.6,1.2,1.0,50.9,78.0
MIN,PF,20.5,10.3,4.1,1.8,0.7,0.5,1.1,1.1,46.0,77.7
BOS,PF,20.1,10.0,4.3,1.8,0.6,0.3,1.0,1.1,44.9,78.3
NOP,PF,19.9,9.4,4.3,1.9,0.5,0.6,1.2,1.1,45.3,76.9
