TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
MIL,PG,27.4,14.5,3.6,4.1,0.8,0.2,1.5,1.7,48.7,80.8
PHX,PG,26.6,13.1,3.4,4.2,1.0,0.4,1.4,1.8,45.3,80.1
ATL,PG,26.5,13.4,3.3,4.3,0.8,0.3,1.7,1.8,47.8,80.1
WAS,PG,26.4,12.6,3.5,4.5,0.9,0.4,1.5,1.5,45.8,82.7
LAL,PG,26.1,13.3,3.3,4.0,0.9,0.3,1.4,1.8,46.3,87.6
OKC,PG,26.0,12.8,3.4,4.2,0.8,0.4,1.8,1.9,43.8,80.2
BKN,PG,25.8,13.5,3.3,3.8,0.7,0.3,1.5,2.0,46.3,82.3
GSW,PG,25.7,13.0,3.1,3.9,1.0,0.3,1.4,1.7,45.2,81.7
DET,PG,25.6,13.1,2.9,4.1,1.0,0.3,1.4,1.3,45.2,83.8
MEM,PG,25.6,12.5,3.5,4.1,0.9,0.3,1.5,1.6,45.7,80.2
SAS,PG,25.2,12.4,3.2,4.0,1.0,0.3,1.4,1.6,47.2,80.7
ORL,PG,25.1,13.1,2.9,3.8,1.0,0.3,1.6,1.5,46.9,80.0
IND,PG,24.9,13.4,3.3,3.5,0.7,0.4,1.5,1.4,47.9,83.3
SAC,PG,24.9,12.8,2.9,4.2,0.8,0.3,1.6,1.6,47.4,84.3
POR,PG,24.8,12.1,3.2,4.1,0.9,0.4,1.6,1.2,47.9,82.9
UTA,PG,24.8,11.4,3.2,4.4,0.9,0.4,1.4,1.6,45.6,79.6
DAL,PG,24.6,11.8,3.4,4.2,0.7,0.3,1.4,1.5,46.1,83.4
TOR,PG,24.5,11.6,3.2,4.5,0.8,0.3,1.5,1.5,42.9,83.6
BOS,PG,24.1,12.3,3.3,3.6,0.7,0.2,1.3,1.6,43.2,78.4
MIA,PG,24.0,11.8,3.0,4.0,0.8,0.4,1.5,1.6,44.8,78.3
CHA,PG,23.8,11.3,3.3,4.0,0.7,0.4,1.4,1.5,45.3,83.6
PHI,PG,23.6,11.7,2.9,4.0,0.7,0.4,1.6,1.4,43.9,86.1
CHI,PG,23.5,11.5,2.9,4.2,0.7,0.3,1.7,1.6,42.8,84.9
NYK,PG,23.5,11.2,2.8,4.2,0.8,0.4,1.3,1.4,45.0,79.3
LAC,PG,23.5,12.2,3.1,3.6,0.7,0.3,1.6,1.4,45.0,83.7
HOU,PG,23.3,12.1,3.0,3.5,0.7,0.3,1.3,1.5,43.9,80.7
DEN,PG,23.2,11.8,2.9,3.8,0.7,0.3,1.4,1.5,45.5,84.5
MIN,PG,22.3,11.0,3.0,3.7,0.8,0.3,1.7,1.2,43.1,85.6
NOP,PG,22.1,11.2,2.6,3.7,0.7,0.2,1.4,1.6,43.3,81.3
CLE,PG,22.0,11.1,2.8,3.3,0.9,0.3,1.3,1.4,44.1,86.0
