TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
TOR,SF,23.4,12.2,3.9,2.3,0.8,0.4,1.1,1.8,49.5,79.8
ATL,SF,22.3,11.9,3.4,2.5,0.7,0.4,1.3,1.6,46.8,81.5
CHA,SF,22.3,11.2,3.8,2.6,0.8,0.4,1.3,1.5,46.7,81.5
DAL,SF,22.1,11.3,4.0,2.4,0.6,0.3,1.0,1.5,46.6,76.8
PHI,SF,21.6,11.0,4.2,2.0,0.6,0.5,1.3,1.4,47.1,79.8
IND,SF,21.6,11.5,3.8,2.1,0.7,0.4,1.1,1.2,49.6,78.1
WAS,SF,21.5,10.9,3.8,2.1,0.8,0.4,1.0,1.4,49.4,80.6
MEM,SF,21.3,10.6,3.8,2.1,0.9,0.5,1.3,1.5,45.0,79.3
CHI,SF,21.3,10.8,3.6,2.4,0.7,0.4,1.2,1.7,45.8,78.8
UTA,SF,21.0,10.7,3.2,2.2,0.8,0.5,0.9,1.5,45.9,77.3
BKN,SF,21.0,10.5,4.0,2.1,0.7,0.4,1.1,1.3,44.9,81.8
LAL,SF,20.8,10.5,3.5,2.2,0.7,0.4,1.0,1.5,46.7,81.9
NYK,SF,20.6,10.7,3.6,2.1,0.7,0.3,1.1,1.5,45.6,78.2
SAC,SF,20.5,10.7,3.3,2.1,0.8,0.3,1.1,1.4,47.0,83.1
HOU,SF,20.4,9.8,3.9,2.0,0.9,0.4,1.1,1.3,43.1,79.2
MIL,SF,20.3,10.0,3.7,2.2,0.8,0.3,0.9,1.2,42.3,81.7
GSW,SF,20.2,10.4,3.6,1.9,0.7,0.3,0.9,1.4,46.0,80.3
DET,SF,20.2,10.4,3.2,2.0,0.9,0.3,0.8,1.2,47.9,82.7
MIA,SF,20.1,10.1,3.4,2.3,0.7,0.4,1.2,1.4,45.7,77.1
CLE,SF,19.8,10.0,3.6,2.0,0.7,0.3,1.1,1.2,43.0,78.9
SAS,SF,19.8,9.7,3.5,2.2,0.9,0.3,1.2,1.4,45.8,78.6
POR,SF,19.7,10.2,3.3,1.9,0.8,0.4,1.1,1.2,49.0,80.7
LAC,SF,19.7,10.1,3.2,2.0,0.7,0.4,0.9,1.4,47.1,78.1
NOP,SF,19.5,10.1,3.3,2.1,0.6,0.3,1.1,1.5,44.1,77.8
PHX,SF,19.3,9.9,3.2,1.7,0.9,0.4,1.0,1.3,44.2,75.8
MIN,SF,19.2,9.9,3.3,1.9,0.8,0.4,1.1,1.3,43.7,76.7
DEN,SF,19.1,9.8,3.3,1.9,0.7,0.3,1.0,1.2,44.9,77.2
OKC,SF,18.9,9.9,3.1,2.0,0.6,0.4,1.3,1.5,43.4,81.0
BOS,SF,18.5,9.3,3.5,1.9,0.6,0.3,0.9,1.4,42.1,77.9
ORL,SF,17.9,9.4,3.1,1.7,0.8,0.3,1.2,1.3,44.5,76.9
