TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
IND,SG,23.3,13.3,3.3,2.4,0.7,0.4,1.3,1.6,50.0,78.7
SAC,SG,23.1,12.6,2.9,3.0,0.7,0.3,1.3,1.8,45.7,83.5
TOR,SG,22.8,12.1,3.3,2.7,0.7,0.4,1.1,1.9,46.5,82.3
UTA,SG,22.7,11.5,3.0,2.9,0.9,0.4,1.1,1.8,45.2,81.9
MEM,SG,22.7,11.8,3.3,2.8,0.8,0.3,1.4,1.6,44.9,80.6
DAL,SG,22.5,11.9,3.4,2.7,0.7,0.2,1.2,1.8,46.2,80.0
ATL,SG,22.2,11.8,3.0,3.0,0.7,0.3,1.4,1.8,44.6,81.4
POR,SG,22.2,11.5,3.2,2.8,0.9,0.4,1.4,1.4,47.0,82.7
LAL,SG,22.0,11.5,3.2,2.7,0.8,0.3,1.3,1.7,45.4,83.6
WAS,SG,22.0,11.0,3.2,3.0,0.8,0.4,1.2,1.5,45.5,79.3
BKN,SG,21.9,11.5,3.3,2.7,0.6,0.3,1.2,1.7,44.1,82.5
MIL,SG,21.8,11.8,3.2,2.6,0.7,0.2,1.1,1.6,44.7,82.4
GSW,SG,21.7,11.4,3.0,2.7,0.8,0.3,1.2,1.6,44.1,82.5
SAS,SG,21.6,11.2,2.9,2.9,0.8,0.3,1.3,1.7,46.7,83.5
MIA,SG,21.2,10.4,3.1,2.9,0.7,0.4,1.2,1.6,42.9,78.2
CHI,SG,20.9,10.6,3.1,2.8,0.7,0.3,1.3,1.7,43.0,81.6
PHI,SG,20.9,10.8,3.1,2.7,0.6,0.4,1.4,1.5,42.9,81.4
ORL,SG,20.9,11.2,2.8,2.5,0.8,0.3,1.5,1.6,45.0,78.3
HOU,SG,20.9,10.9,3.3,2.3,0.7,0.4,1.2,1.5,42.6,81.9
OKC,SG,20.9,11.1,2.9,2.7,0.7,0.3,1.5,1.7,42.9,78.8
DET,SG,20.9,11.1,2.7,2.5,0.9,0.3,1.0,1.4,45.9,84.8
CHA,SG,20.8,10.6,3.0,2.6,0.8,0.3,1.2,1.6,44.2,84.8
LAC,SG,20.6,11.2,2.8,2.5,0.7,0.3,1.2,1.5,44.5,84.0
NYK,SG,20.5,10.7,3.0,2.5,0.7,0.4,1.2,1.6,44.9,79.1
PHX,SG,20.5,10.6,3.0,2.5,0.7,0.3,1.1,1.7,42.7,80.3
NOP,SG,20.0,10.9,2.5,2.5,0.7,0.3,1.2,1.7,42.9,82.9
DEN,SG,19.9,10.5,2.7,2.5,0.7,0.3,1.1,1.6,44.0,80.2
CLE,SG,19.7,10.4,2.9,2.3,0.7,0.3,1.2,1.5,42.4,83.3
MIN,SG,19.1,10.4,2.9,2.2,0.7,0.2,1.3,1.4,42.0,82.9
BOS,SG,18.6,10.2,2.9,2.0,0.6,0.2,0.9,1.5,42.5,79.5
