First Name,Last Name,Salary,Position,Team,Opponent,Projection,Points,Rebounds,Assists,3PM,final_projections
Stanley Umude,1,4.7,SG,DET,IND,26.45,4.27,3.0999999999999996,0.03,0.535,8.4575
Gradey Dick,1,5.3,SG,TOR,SAC,26.1,6.7250000000000005,2.0999999999999996,1.22,1.2850000000000001,11.8225
Thomas Bryant,1,4.7,C,MIA,CLE,22.93,8.035,4.4,0.77,0.04,14.709999999999999
Dalano Banton,1,5.3,PG,POR,LAC,25.25,7.43,2.2199999999999998,3.165,1.03,15.4675
Bruce Brown,1,7.0,SG,TOR,SAC,32.81,9.89,4.01,2.805,0.485,19.3525
Jontay Porter,1,5.7,C,TOR,SAC,25.79,4.035,2.265,2.485,0.53,10.85875
Brice Sensabaugh,1,5.1,SF,UTA,OKC,23.02,5.72,2.7350000000000003,2.7249999999999996,1.02,13.73625
Payton Pritchard,1,5.6,PG,BOS,MIL,24.63,12.415,3.365,4.1899999999999995,2.495,24.15375
Trayce Jackson-Davis,1,5.8,C,GSW,MEM,24.06,5.91,4.9399999999999995,1.2850000000000001,0.0,14.0125
Orlando Robinson,1,4.4,C,MIA,CLE,18.01,5.695,3.045,0.95,0.33999999999999997,11.09625
Bobby Portis,1,7.7,PF,MIL,BOS,31.18,15.615,8.25,1.095,1.645,28.392500000000002
Jordan Nwora,1,6.3,PF,TOR,SAC,25.14,9.99,2.105,0.615,0.95,14.018749999999999
Andrew Nembhard,1,5.3,PG,IND,DET,20.82,8.945,1.975,3.515,0.78,17.07625
Ochai Agbaji,1,4.8,SG,TOR,SAC,18.72,7.005,3.01,0.835,1.02,12.53
Shai Gilgeous-Alexander,1,14.5,PG,OKC,UTA,56.41,29.61,5.43,6.54,1.1,46.7575
Keon Ellis,1,5.7,SG,SAC,TOR,22.05,6.17,1.7599999999999998,1.375,1.605,11.235
Evan Fournier,1,4.9,SG,DET,IND,18.86,7.95,1.74,1.45,1.5,13.05
Kris Dunn,1,5.0,PG,UTA,OKC,19.17,4.904999999999999,2.8049999999999997,4.155,0.8200000000000001,15.053749999999999
Taylor Hendricks,1,6.6,PF,UTA,OKC,25.07,8.56,3.495,0.815,1.445,14.873750000000001
Scoot Henderson,1,7.0,PG,POR,LAC,26.54,15.85,2.76,6.0600000000000005,1.665,29.2225
Jae Crowder,1,4.8,PF,MIL,BOS,18.11,6.845000000000001,2.915,2.27,1.08,14.43375
De'Aaron Fox,1,13.2,PG,SAC,TOR,49.67,24.09,4.9399999999999995,5.35,2.545,39.5625
Keegan Murray,1,8.0,PF,SAC,TOR,29.98,15.085,6.79,2.13,1.855,27.695
Myles Turner,1,9.5,C,IND,DET,35.57,17.994999999999997,7.96,1.3250000000000002,0.995,30.429999999999996
Damian Lillard,1,13.1,PG,MIL,BOS,48.66,23.575,4.61,6.205,3.23,40.26
Tyrese Haliburton,1,12.7,PG,IND,DET,46.97,21.55,3.585,11.415,3.165,44.736250000000005
Kyle Lowry,1,6.4,PG,PHI,PHX,23.55,6.225,2.9450000000000003,4.425,1.57,17.32875
Collin Sexton,1,10.1,PG,UTA,OKC,36.92,20.880000000000003,2.92,4.785,1.6,32.5075
Jaden Ivey,1,8.2,SG,DET,IND,29.94,17.305,3.5300000000000002,3.2199999999999998,1.2,27.1475
James Harden,1,11.2,PG,LAC,POR,40.87,16.98,5.51,8.555,2.765,38.0825
Jusuf Nurkic,1,9.8,C,PHX,PHI,35.65,10.504999999999999,11.66,4.245,0.28,31.5875
Royce O'Neale,1,5.1,SF,PHX,PHI,18.55,7.324999999999999,4.23,2.625,1.7149999999999999,17.4075
Tobias Harris,1,8.6,SF,PHI,PHX,31.26,17.285,6.795,2.8449999999999998,0.64,30.36625
Jimmy Butler,1,11.3,SF,MIA,CLE,40.61,19.0,4.755,5.3100000000000005,0.98,33.39875000000001
Chet Holmgren,1,11.0,PF,OKC,UTA,39.19,18.515,8.6,2.0149999999999997,1.905,33.24
Isaac Okoro,1,6.5,SF,CLE,MIA,23.14,7.32,2.605,1.63,1.1,13.571250000000001
Domantas Sabonis,1,16.5,C,SAC,TOR,58.67,18.485,15.725000000000001,8.370000000000001,0.28,50.83625
Terry Rozier,1,9.7,PG,MIA,CLE,34.48,19.509999999999998,3.855,4.665,2.335,32.49375
Patrick Beverley,1,4.8,PG,MIL,BOS,17.06,8.39,3.2249999999999996,2.74,1.145,17.10375
Keyonte George,1,9.3,SG,UTA,OKC,33.0,13.41,2.75,4.42,2.44,24.697499999999998
Tyrese Maxey,1,12.4,PG,PHI,PHX,43.89,20.715,3.62,5.95,1.98,35.15500000000001
Malik Monk,1,9.9,SG,SAC,TOR,34.91,15.0,3.135,4.785,1.885,27.038749999999997
Brandin Podziemski,1,7.3,SG,GSW,MEM,25.69,8.035,6.0649999999999995,4.390000000000001,0.645,22.523750000000003
