Lineup,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Points1,Points2,Points3,Points4,Points5,Points6,Points7
L1,Stanley Umude,Bruce Brown,Brice Sensabaugh,Shai Gilgeous-Alexander,De'Aaron Fox,Domantas Sabonis,Jonathan Kuminga,26.45,32.81,23.02,56.41,49.67,58.67,31.59
L2,Stanley Umude,Gradey Dick,Bobby Portis,Shai Gilgeous-Alexander,Tyrese Haliburton,Tobias Harris,Domantas Sabonis,26.45,26.1,31.18,56.41,46.97,31.26,58.67
L3,Bruce Brown,Jontay Porter,Bobby Portis,Shai Gilgeous-Alexander,De'Aaron Fox,Damian Lillard,Tobias Harris,32.81,25.79,31.18,56.41,49.67,48.66,31.26
L4,Stanley Umude,Bruce Brown,Jontay Porter,Shai Gilgeous-Alexander,Tyrese Haliburton,Jimmy Butler,Kevin Durant,26.45,32.81,25.79,56.41,46.97,40.61,45.59
L5,Stanley Umude,Thomas Bryant,Bruce Brown,Shai Gilgeous-Alexander,Damian Lillard,Chet Holmgren,Jayson Tatum,26.45,22.93,32.81,56.41,48.66,39.19,48.72
L6,Gradey Dick,Dalano Banton,Bruce Brown,Shai Gilgeous-Alexander,Jimmy Butler,Domantas Sabonis,Kelly Olynyk,26.1,25.25,32.81,56.41,40.61,58.67,33.95
L7,Stanley Umude,Bruce Brown,Bobby Portis,Myles Turner,Damian Lillard,Jimmy Butler,Domantas Sabonis,26.45,32.81,31.18,35.57,48.66,40.61,58.67
L8,Stanley Umude,Gradey Dick,Shai Gilgeous-Alexander,De'Aaron Fox,Jusuf Nurkic,Jimmy Butler,Chet Holmgren,26.45,26.1,56.41,49.67,35.65,40.61,39.19
L9,Bruce Brown,Brice Sensabaugh,Shai Gilgeous-Alexander,Keegan Murray,Myles Turner,Damian Lillard,Tyrese Haliburton,32.81,23.02,56.41,29.98,35.57,48.66,46.97
L10,Thomas Bryant,Bruce Brown,Shai Gilgeous-Alexander,De'Aaron Fox,Keegan Murray,James Harden,Jimmy Butler,22.93,32.81,56.41,49.67,29.98,40.87,40.61
L11,Stanley Umude,Dalano Banton,Bobby Portis,Shai Gilgeous-Alexander,De'Aaron Fox,Myles Turner,Jayson Tatum,26.45,25.25,31.18,56.41,49.67,35.57,48.72
L12,Stanley Umude,Dalano Banton,Jordan Nwora,De'Aaron Fox,Tyrese Haliburton,Jimmy Butler,Domantas Sabonis,26.45,25.25,25.14,49.67,46.97,40.61,58.67
L13,Stanley Umude,Dalano Banton,Shai Gilgeous-Alexander,Keegan Murray,Damian Lillard,Domantas Sabonis,Aaron Nesmith,26.45,25.25,56.41,29.98,48.66,58.67,26.87
L14,Gradey Dick,Thomas Bryant,Brice Sensabaugh,Shai Gilgeous-Alexander,De'Aaron Fox,Damian Lillard,Kevin Durant,26.1,22.93,23.02,56.41,49.67,48.66,45.59
L15,Gradey Dick,Bruce Brown,Payton Pritchard,Bobby Portis,De'Aaron Fox,Domantas Sabonis,Jayson Tatum,26.1,32.81,24.63,31.18,49.67,58.67,48.72
L16,Stanley Umude,Thomas Bryant,Shai Gilgeous-Alexander,De'Aaron Fox,Tyrese Haliburton,John Collins,Jalen Williams,26.45,22.93,56.41,49.67,46.97,31.0,37.55
L17,Stanley Umude,Trayce Jackson-Davis,Jordan Nwora,Shai Gilgeous-Alexander,De'Aaron Fox,Damian Lillard,Kawhi Leonard,26.45,24.06,25.14,56.41,49.67,48.66,40.33
L18,Thomas Bryant,Bruce Brown,Jordan Nwora,Shai Gilgeous-Alexander,Tobias Harris,Domantas Sabonis,Tyrese Maxey,22.93,32.81,25.14,56.41,31.26,58.67,43.89
L19,Gradey Dick,Bruce Brown,Brice Sensabaugh,Tyrese Haliburton,Chet Holmgren,Domantas Sabonis,Tyrese Maxey,26.1,32.81,23.02,46.97,39.19,58.67,43.89
L20,Gradey Dick,Jontay Porter,Shai Gilgeous-Alexander,De'Aaron Fox,Keegan Murray,Domantas Sabonis,Harrison Barnes,26.1,25.79,56.41,49.67,29.98,58.67,23.57
L21,Stanley Umude,Bruce Brown,De'Aaron Fox,Keegan Murray,Tyrese Haliburton,Jusuf Nurkic,Jayson Tatum,26.45,32.81,49.67,29.98,46.97,35.65,48.72
L22,Stanley Umude,Thomas Bryant,Shai Gilgeous-Alexander,Taylor Hendricks,Jimmy Butler,Domantas Sabonis,Desmond Bane,26.45,22.93,56.41,25.07,40.61,58.67,39.88
L23,Stanley Umude,Brice Sensabaugh,Taylor Hendricks,Damian Lillard,Tyrese Haliburton,James Harden,Domantas Sabonis,26.45,23.02,25.07,48.66,46.97,40.87,58.67
L24,Thomas Bryant,Bruce Brown,Bobby Portis,Shai Gilgeous-Alexander,Tyrese Haliburton,Cade Cunningham,Caris LeVert,22.93,32.81,31.18,56.41,46.97,41.94,37.64
